ANO,MES,DIA,TMAX,TMIN,LUGAR
2020,1,3,23.5,22.8,ORAN AEROPUERTO
2020,1,3,,14.5,PARANA AEROPUERTO
2020,1,3,31.7,,PASO DE INDIOS
2020,1,3,29.5,14.8,PASO DE LOS LIBRES AEROPUERTO
2020,1,3,26.6,10.7,PEHUAJO AEROPUERTO
2020,1,3,24.6,5.4,PERITO MORENO AEROPUERTO
2020,1,3,26.7,12.3,PIGUE AEROPUERTO
2020,1,3,28.2,17.8,PILAR OBSERVATORIO
2020,1,3,31.7,23.5,POSADAS AEROPUERTO
2020,1,3,33.7,16.7,PRESIDENCIA ROQUE SAENZ PE A AEROPUERTO
2020,1,3,25.3,8.2,PUERTO DESEADO AEROPUERTO
2020,1,3,21.4,10.6,PUERTO MADRYN AEROPUERTO
2020,1,3,23.1,8.3,PUNTA INDIO B.A.
2020,1,3,31.8,15.1,RAFAELA AEROPUERTO
2020,1,3,32.7,15.1,RECONQUISTA AEROPUERTO
2020,1,3,32.4,19.1,RESISTENCIA AEROPUERTO
2020,1,3,,14.4,RIO CUARTO AEROPUERTO
2020,1,3,20.6,4.6,RIO GALLEGOS AEROPUERTO
2020,1,3,13.7,9,RIO GRANDE B.A.
2020,1,3,31.5,21.3,RIVADAVIA
2020,1,3,28.6,10.2,ROSARIO AEROPUERTO
2020,1,3,26.7,18.8,SALTA AEROPUERTO
2020,1,3,,12.6,SAN ANTONIO OESTE AEROPUERTO
2020,1,3,25.8,15.9,SAN FERNANDO AEROPUERTO
2020,1,3,34,18.4,SAN JUAN AEROPUERTO
2020,1,3,20.2,8.2,SAN JULIAN AEROPUERTO
2020,1,3,35.4,22.2,SAN LUIS AEROPUERTO
2020,1,3,34.5,19.9,SAN MARTIN (MZA)
2020,1,3,34.4,14.6,SAN RAFAEL AEROPUERTO
2020,1,3,18.8,12,SANTA CRUZ AEROPUERTO
2020,1,3,35.7,12,SANTA ROSA AEROPUERTO
2020,1,3,,13.8,SANTA ROSA DE CONLARA AEROPUERTO
2020,1,3,28.6,20.5,SANTIAGO DEL ESTERO AEROPUERTO
2020,1,3,33.5,10.4,SAUCE VIEJO AEROPUERTO
2020,1,3,33.1,14.1,SUNCHALES AEROPUERTO
2020,1,3,23,8.7,TANDIL AEROPUERTO
2020,1,3,,19.7,TARTAGAL AEROPUERTO
2020,1,3,26.9,16.5,TERMAS DE RIO HONDO AEROPUERTO
2020,1,3,32.9,17.7,TINOGASTA
2020,1,3,26.7,11.2,TRELEW AEROPUERTO
2020,1,3,31,10.8,TRENQUE LAUQUEN
2020,1,3,18.3,10.8,TRES ARROYOS
2020,1,3,24.2,17.6,TUCUMAN AEROPUERTO
2020,1,3,,3.8,USHUAIA AEROPUERTO
2020,1,3,31.9,12.7,USPALLATA
2020,1,3,30.3,10.1,VENADO TUERTO AEROPUERTO
2020,1,3,33.9,14.4,VICTORICA
2020,1,3,,5.7,VIEDMA AEROPUERTO
2020,1,3,31.6,15,VILLA DE MARIA DEL RIO SECO
2020,1,3,34.9,19.3,VILLA DOLORES AEROPUERTO
2020,1,3,22.1,10.6,VILLA GESELL AEROPUERTO
2020,1,3,32.6,10.4,VILLA REYNOLDS AEROPUERTO
2020,1,4,22.3,14.5,AEROPARQUE CABA
2020,1,4,27.3,7.6,AZUL AEROPUERTO
2020,1,4,26.8,10.6,BAHIA BLANCA AEROPUERTO
2020,1,4,28.8,10.9,BARILOCHE AEROPUERTO
2020,1,4,-3.4,-4.8,BASE BELGRANO II
2020,1,4,-0.7,-3.3,BASE CARLINI (EX JUBANY)
2020,1,4,5.9,-1.4,BASE ESPERANZA
2020,1,4,6.4,-3.5,BASE MARAMBIO
2020,1,4,-1.4,-3.3,BASE ORCADAS
2020,1,4,3.7,-3.8,BASE SAN MARTIN
2020,1,4,24.3,11.9,BENITO JUAREZ
2020,1,4,27,15.3,BERNARDO DE IRIGOYEN AEROPUERTO
2020,1,4,29.9,5.7,BOLIVAR AEROPUERTO
2020,1,4,26.2,14.3,BUENOS AIRES OBSERVATORIO
2020,1,4,,,CAMPO DE MAYO AEROPUERTO
2020,1,4,37.8,20,CATAMARCA AEROPUERTO
2020,1,4,,17.1,CERES AEROPUERTO
2020,1,4,,20.4,CHAMICAL AEROPUERTO
2020,1,4,29.6,13.3,CHAPELCO AEROPUERTO
2020,1,4,37.6,19.6,CHEPES
2020,1,4,24.2,12.5,COMODORO RIVADAVIA AEROPUERTO
2020,1,4,31.3,9.8,CONCORDIA AEROPUERTO
2020,1,4,35.9,14.1,CORDOBA AEROPUERTO
2020,1,4,35.5,19.8,CORDOBA OBSERVATORIO
2020,1,4,28.4,10.6,CORONEL SUAREZ AEROPUERTO
2020,1,4,32.2,18,CORRIENTES AEROPUERTO
2020,1,4,,10.9,DOLORES AEROPUERTO
2020,1,4,29.5,11.2,EL BOLSON AEROPUERTO
2020,1,4,20.1,,EL CALAFATE AEROPUERTO
2020,1,4,27.4,11.4,EL PALOMAR AEROPUERTO
2020,1,4,,23.5,ESCUELA DE AVIACION MILITAR AEROPUERTO
2020,1,4,22.4,12.7,ESQUEL AEROPUERTO
2020,1,4,27.9,11.5,EZEIZA AEROPUERTO
2020,1,4,34.8,21.3,FORMOSA AEROPUERTO
2020,1,4,31.3,18.4,GENERAL PICO AEROPUERTO
2020,1,4,19.5,8.7,GOBERNADOR GREGORES AEROPUERTO
2020,1,4,30,15.5,GUALEGUAYCHU AEROPUERTO
2020,1,4,31,20,IGUAZU AEROPUERTO
2020,1,4,32,15.6,ITUZAINGO
